Location,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Zambia,2310.436,2368.607,2431.341,2498.457,2569.747,2644.976,2723.867,2806.165,2891.58,2979.844,3070.78,3164.33,3260.645,3360.099,3463.211,3570.466,3681.953,3797.877,3918.872,4045.74,4179.062,4319.226,4466.17,4619.549,4778.716,4943.279,5112.823,5287.544,5468.259,5656.145,5851.818,6055.361,6265.869,6481.907,6701.547,6923.148,7146.965,7372.835,7598.27,7820.199,8036.849,8246.662,8451.346,8656.484,8869.745,9096.608,9339.74,9597.61,9866.474,10140.564,10415.942,10692.197,10971.704,11256.74,11550.641,11856.244,12173.518,12502.958,12848.531,13215.142,13605.986,14023.199,14465.148,14926.551,15399.793,15879.37,16363.449,16853.608,17351.714,17861.034,18383.956,18920.657
Guatemala,3114.956,3212.327,3311.525,3413.156,3517.654,3625.305,3736.231,3850.435,3967.743,4087.921,4210.751,4336.132,4464.251,4595.509,4730.533,4869.714,5013.167,5160.616,5311.61,5465.515,5621.794,5780.477,5941.567,6104.528,6268.707,6433.723,6599.211,6765.516,6933.909,7106.144,7283.456,7466.481,7654.818,7847.468,8042.895,8240.06,8438.599,8639.105,8842.571,9050.464,9263.82,9483.273,9708.552,9938.699,10172.303,10408.486,10646.676,10887.637,11133.502,11387.208,11650.744,11924.941,12208.854,12500.479,12796.926,13096.028,13397.022,13700.326,14006.42,14316.251,14630.42,14948.792,15270.774,15595.821,15923.238,16252.425,16583.079,16914.979,17247.855,17581.476,17915.567,18249.868
Ecuador,3470.16,3561.078,3654.72,3751.599,3852.128,3956.625,4065.328,4178.344,4295.754,4417.539,4543.658,4674.176,4809.194,4948.991,5093.848,5243.98,5399.423,5560.013,5725.462,5895.368,6069.375,6247.421,6429.377,6614.84,6803.271,6994.331,7187.794,7383.713,7582.357,7784.074,7989.178,8197.648,8409.396,8624.594,8843.463,9066.1,9292.481,9522.362,9755.576,9991.87,10230.931,10472.476,10716.131,10961.46,11207.999,11455.205,11703.169,11951.457,12198.449,12442.109,12681.123,12914.66,13143.465,13369.678,13596.39,13825.839,14059.379,14296.554,14535.74,14774.412,15011.114,15243.885,15474.099,15707.473,15951.832,16212.022,16491.116,16785.356,17084.359,17373.657,17643.06,17888.474
Syrian Arab Republic,3413.325,3498.531,3591.003,3690.734,3797.636,3911.497,4032.068,4158.978,4291.811,4430.101,4573.514,4721.893,4875.429,5034.639,5200.341,5373.137,5553.247,5740.702,5935.85,6139.054,6350.544,6570.859,6800.148,7037.86,7283.181,7535.715,7794.658,8060.652,8336.421,8625.693,8930.776,9252.854,9590.226,9938.852,10293.048,10648.633,11004.273,11360.848,11719.064,12080.439,12446.168,12815.4,13187.669,13565.074,13950.486,14345.491,14754.148,15175.308,15599.588,16013.992,16410.847,16766.555,17084.628,17415.214,17827.827,18361.178,19059.257,19878.257,20664.037,21205.873,21362.541,21081.814,20438.861,19578.466,18710.711,17997.411,17465.567,17095.669,16945.062,17070.132,17500.657,18275.704
Netherlands (and dependencies),10188.903,10319.327,10454.456,10593.392,10735.414,10880.044,11027.071,11176.432,11328.37,11483.096,11640.875,11801.524,11964.445,12128.363,12291.682,12453.155,12611.825,12767.504,12920.608,13071.961,13221.863,13370.742,13517.481,13659.308,13792.577,13914.783,14025.159,14124.882,14215.68,14300.223,14380.81,14457.871,14531.863,14605.009,14679.881,14758.497,14841.672,14929.317,15021.275,15117.096,15216.097,15318.67,15424.508,15531.482,15636.766,15738.321,15835.03,15927.279,16016.73,16105.789,16196.152,16288.322,16381.301,16473.336,16561.868,16645.152,16722.523,16794.508,16862.058,16926.493,16988.887,17049.598,17108.305,17164.559,17217.664,17267.219,17313.034,17355.533,17395.804,17435.228,17474.842,17514.951
Netherlands,10042.051,10167.541,10297.986,10432.296,10569.687,10709.621,10851.925,10996.626,11144.074,11294.684,11448.815,11606.398,11766.73,11928.359,12089.386,12248.333,12404.189,12556.841,12706.787,12855.006,13001.941,13147.935,13291.876,13431.187,13562.431,13683.287,13793.11,13892.92,13984.05,14068.597,14148.41,14223.757,14295.209,14365.388,14437.51,14513.947,14595.749,14682.662,14774.031,14868.659,14965.442,15064.522,15165.856,15268.005,15369.121,15467.852,15563.252,15655.482,15745.65,15835.525,15926.188,16018.112,16110.355,16200.948,16287.183,16367.153,16440.091,16506.652,16568.105,16626.379,16682.927,16738.191,16791.85,16843.512,16892.517,16938.492,16981.285,17021.343,17059.56,17097.123,17134.873,17173.094
Senegal,2486.642,2545.343,2606.617,2670.733,2737.91,2808.239,2881.767,2958.481,3038.293,3121.093,3206.757,3295.28,3386.803,3481.654,3580.241,3682.879,3789.381,3899.648,4014.107,4133.324,4257.508,4387.532,4522.886,4660.726,4797.188,4929.846,5057.375,5181.505,5306.685,5439.069,5583.157,5740.441,5909.734,6089.567,6277.42,6471.329,6670.665,6875.746,7086.624,7303.511,7526.306,7755.503,7990.09,8226.749,8461.066,8690.155,8912.872,9130.876,9347.777,9568.717,9797.731,10036.102,10283.694,10541.47,10810.086,11090.123,11382.272,11687.078,12004.7,12335.092,12678.143,13033.814,13401.99,13782.429,14174.74,14578.45,14993.514,15419.354,15854.324,16296.362,16743.93,17196.308
Cambodia,4432.724,4537.664,4656.427,4783.2,4913.749,5045.283,5176.644,5308.126,5441.323,5578.695,5722.372,5872.968,6028.434,6183.586,6331.443,6467.191,6585.034,6685.961,6779.778,6880.623,6996.576,7139.64,7302.114,7449.233,7533.332,7524.457,7404.687,7196.042,6957.267,6770.393,6693.759,6749.849,6919.803,7170.004,7447.844,7714.894,7960.952,8198.082,8435.909,8691.331,8975.597,9289.298,9623.899,9970.727,10317.901,10656.145,10982.919,11298.594,11600.51,11886.464,12155.241,12405.411,12637.719,12856.171,13066.475,13273.355,13477.705,13679.953,13883.835,14093.605,14312.205,14541.421,14780.454,15026.33,15274.506,15521.435,15766.29,16009.413,16249.795,16486.542,16718.971,16946.446
Chad,2502.321,2543.879,2588.874,2636.247,2685.188,2735.205,2786.048,2837.77,2890.636,2945.1,3001.604,3060.365,3121.226,3183.576,3246.527,3309.583,3372.182,3434.817,3499.37,3568.402,3643.608,3726.189,3815.253,3907.891,3999.918,4088.568,4173.131,4255.242,4337.292,4422.743,4514.427,4612.858,4718.157,4832.316,4957.561,5095.4,5247.281,5412.844,5589.624,5773.93,5963.25,6157.085,6356.741,6563.925,6781.057,7010.159,7250.974,7503.494,7770.053,8053.532,8355.654,8678.049,9019.226,9373.913,9734.761,10096.63,10457.122,10818.031,11183.589,11560.142,11952.134,12360.986,12784.748,13220.433,13663.562,14110.971,14561.658,15016.761,15477.727,15946.882,16425.859,16914.985
Somalia,2264.076,2307.679,2351.943,2397.188,2443.647,2491.543,2541.019,2592.154,2645.028,2699.62,2755.967,2814.125,2874.215,2936.478,3001.16,3068.465,3143.654,3227.835,3312.735,3386.736,3444.569,3472.357,3479.792,3512.626,3632.986,3880.285,4278.974,4802.134,5375.018,5892.763,6281.138,6511.115,6608.04,6618.594,6614.713,6648.628,6736.751,6862.267,7005.226,7133.263,7225.089,7274.026,7295.38,7315.864,7372.592,7491.647,7682.683,7936.122,8235.064,8553.595,8872.25,9186.719,9501.335,9815.412,10130.251,10446.856,10763.904,11080.122,11397.188,11717.691,12043.886,12376.305,12715.487,13063.711,13423.571,13797.204,14185.635,14589.165,15008.225,15442.906,15893.219,16359.5
Zimbabwe,2746.852,2832.248,2922.04,3015.662,3112.775,3213.289,3317.282,3425.07,3537.167,3654.172,3776.679,3905.038,4039.209,4178.726,4322.854,4471.178,4623.34,4779.825,4941.901,5111.326,5289.312,5476.978,5673.914,5877.725,6085.078,6293.875,6502.566,6712.825,6929.663,7160.021,7408.63,7675.582,7958.239,8254.746,8562.259,8877.489,9200.15,9527.202,9849.129,10153.852,10432.409,10681.008,10900.511,11092.775,11261.752,11410.721,11541.215,11653.254,11747.079,11822.722,11881.482,11923.906,11954.293,11982.219,12019.911,12076.697,12155.496,12255.92,12379.553,12526.964,12697.728,12894.323,13115.149,13350.378,13586.71,13814.642,14030.338,14236.599,14438.812,14645.473,14862.927,15092.171
Guinea,3012.938,3054,3095.613,3138.452,3183.009,3229.643,3278.495,3329.562,3382.714,3437.667,3494.164,3552.068,3611.428,3672.56,3735.912,3801.711,3870.204,3941.046,4013.05,4084.601,4154.606,4223.056,4290.544,4357.357,4424.03,4491.248,4559.239,4628.881,4702.371,4782.491,4871.446,4969.595,5077.073,5195.443,5326.369,5470.716,5629.42,5801.323,5982.484,6167.48,6352.282,6534.936,6716.032,6897.171,7081.119,7269.631,7463.782,7662.071,7860.772,8054.745,8240.735,8417.082,8586.077,8753.097,8925.729,9109.585,9307.421,9518.159,9738.796,9964.47,10192.168,10420.459,10652.032,10892.821,11150.97,11432.096,11738.434,12067.516,12414.292,12771.246,13132.792,13497.237
Rwanda,2186.183,2251.125,2314.181,2379.688,2450.362,2527.293,2609.863,2695.818,2781.612,2862.799,2935.575,2998.334,3052.937,3105.417,3164.258,3235.536,3321.674,3420.897,3529.839,3643.237,3757.351,3871.428,3987.223,4106.411,4231.579,4364.709,4506.109,4655.386,4812.872,4978.812,5153.314,5329.25,5504.847,5690.989,5902.847,6146.884,6443.748,6779.981,7088.194,7276.983,7288.883,7083.928,6702.239,6263.758,5936.253,5836.49,6013.112,6419.898,6962.8,7501.238,7933.688,8231.15,8427.061,8557.16,8680.516,8840.22,9043.342,9273.759,9524.532,9782.77,10039.338,10293.333,10549.668,10811.538,11083.629,11369.066,11668.829,11980.96,12301.969,12626.938,12952.209,13276.517
Burundi,2308.927,2360.442,2406.034,2449.089,2492.192,2537.15,2584.913,2635.622,2688.751,2743.202,2797.925,2852.438,2907.32,2964.416,3026.292,3094.378,3170.496,3253.215,3336.93,3413.909,3479.07,3530,3569.655,3605.12,3646.428,3700.879,3770.87,3854.446,3949.264,4051.239,4157.296,4266.52,4379.727,4497.544,4621.096,4750.832,4886.745,5027.143,5168.703,5307.069,5438.959,5564.923,5685.569,5798.054,5898.964,5987.044,6060.11,6122.13,6185.564,6267.132,6378.871,6525.546,6704.118,6909.161,7131.688,7364.857,7607.85,7862.226,8126.104,8397.661,8675.606,8958.406,9245.992,9540.302,9844.301,10160.034,10488.002,10827.01,11175.379,11530.577,11890.781,12255.429
Tunisia,3605.312,3696.163,3772.929,3838.091,3894.12,3943.544,3988.865,4032.593,4077.211,4125.078,4178.235,4238.141,4305.477,4380.074,4461.111,4547.941,4640.995,4740.526,4845.22,4953.379,5063.805,5176.29,5291.335,5409.338,5530.978,5656.912,5786.482,5919.958,6060.158,6210.756,6374.04,6551.232,6740.52,6937.332,7135.265,7329.59,7517.854,7700.733,7880.333,8060.211,8242.509,8427.851,8613.855,8795.934,8967.916,9125.4,9267.335,9395.119,9509.862,9613.587,9708.347,9793.915,9871.261,9945.282,10022.278,10106.778,10201.211,10304.729,10414.425,10525.691,10635.245,10741.872,10846.993,10952.949,11063.195,11179.951,11303.942,11433.438,11565.203,11694.721,11818.618,11935.764
Bolivia (Plurinational State of),3081.836,3124.343,3170.68,3220.683,3274.205,3331.036,3390.97,3453.779,3519.193,3586.996,3656.961,3728.954,3802.996,3879.191,3957.759,4038.865,4122.517,4208.683,4297.522,4389.248,4484.004,4581.752,4682.392,4785.916,4892.294,5001.413,5113.458,5228.253,5344.946,5462.413,5579.932,5697.098,5814.344,5932.812,6054.126,6179.46,6309.129,6442.824,6580.318,6721.117,6864.839,7011.456,7160.917,7312.857,7466.792,7622.334,7779.268,7937.453,8096.761,8257.066,8418.27,8580.244,8742.822,8905.82,9069.044,9232.301,9395.449,9558.438,9721.457,9884.79,10048.597,10212.951,10377.677,10542.375,10706.517,10869.732,11031.822,11192.853,11353.14,11513.102,11673.029,11832.936
Belgium,8637.521,8680.176,8727.988,8779.267,8832.697,8887.275,8942.408,8997.845,9053.64,9110.067,9167.361,9225.414,9283.545,9340.419,9394.3,9443.948,9488.759,9529.046,9565.591,9599.651,9632.179,9663.323,9692.845,9720.75,9747.023,9771.582,9794.771,9816.693,9836.812,9854.372,9868.999,9880.594,9889.819,9897.877,9906.37,9916.577,9928.539,9942.281,9959.011,9980.175,10006.545,10039.45,10078.098,10118.684,10155.909,10186.304,10208.265,10223.785,10237.298,10255.161,10282.046,10319.026,10364.879,10419.029,10480.118,10546.885,10619.484,10697.576,10778.764,10859.934,10938.735,11013.86,11085.355,11154.008,11221.225,11287.931,11354.407,11419.752,11482.18,11539.326,11589.616,11632.334
Haiti,3221.27,3274.41,3330.331,3388.959,3450.248,3514.069,3580.312,3648.819,3719.427,3791.934,3866.162,3941.956,4019.171,4097.755,4177.631,4258.734,4341.325,4425.318,4509.811,4593.666,4676.237,4757.175,4837.334,4918.625,5003.708,5094.57,5191.637,5294.625,5404.02,5520.187,5643.175,5773.367,5910.223,6051.617,6194.686,6337.275,6478.537,6618.742,6758.222,6897.755,7037.915,7178.611,7319.491,7460.684,7602.318,7744.509,7887.312,8030.721,8174.68,8319.07,8463.802,8608.81,8754.148,8900.108,9047.082,9195.289,9344.784,9495.336,9646.57,9798.046,9949.318,10100.32,10250.922,10400.672,10549.007,10695.54,10839.976,10982.367,11123.183,11263.079,11402.533,11541.683
Cuba,5919.989,6050.14,6178.812,6303.731,6423.869,6539.463,6652.074,6764.547,6880.729,7005.029,7141.241,7291.201,7453.535,7623.3,7793.258,7958.171,8115.487,8266.373,8413.549,8561.391,8712.535,8868.087,9025.347,9178.809,9320.943,9446.441,9554.186,9646.142,9724.044,9790.85,9849.457,9898.891,9940.314,9981.303,10031.651,10097.91,10183.894,10286.645,10397.519,10503.967,10596.986,10673.534,10736.386,10789.312,10838.461,10888.246,10939.285,10989.73,11038.706,11084.673,11126.423,11164.676,11199.664,11229.185,11250.369,11261.586,11261.241,11251.117,11236.975,11226.711,11225.833,11236.671,11257.112,11282.722,11306.909,11324.777,11335.108,11339.255,11338.146,11333.484,11326.616,11317.498
Melanesia,2493.453,2512.434,2537.802,2568.906,2605.117,2646.014,2691.11,2740.14,2792.875,2849.187,2908.933,2971.962,3038.069,3106.929,3178.212,3251.67,3327.157,3404.689,3484.729,3567.891,3654.63,3745.142,3839.317,3936.825,4037.187,4140.103,4245.159,4352.489,4462.972,4577.831,4697.81,4823.503,4954.154,5087.391,5219.929,5349.553,5475.313,5598.17,5720.194,5844.453,5973.197,6106.776,6244.625,6386.74,6533.038,6683.224,6838.122,6997.469,7158.669,7318.101,7473.493,7623.207,7768.721,7914.683,8067.664,8232.149,8410.149,8599.617,8796.318,8993.918,9187.934,9376.893,9562.296,9746.195,9931.879,10121.727,10316.126,10514.186,10715.331,10918.534,11122.99,11328.58
Dominican Republic,2364.649,2438.635,2517.654,2601.343,2689.329,2781.338,2877.098,2976.418,3079.136,3185.11,3294.222,3406.282,3521.018,3638.11,3757.123,3877.768,3999.796,4123.1,4247.559,4373.127,4499.722,4627.202,4755.464,4884.46,5014.187,5144.632,5275.767,5407.496,5539.596,5671.801,5803.929,5935.895,6067.769,6199.657,6331.76,6464.229,6596.967,6729.93,6863.438,6997.877,7133.491,7270.413,7408.339,7546.467,7683.707,7819.239,7952.766,8084.407,8214.427,8343.288,8471.317,8598.599,8724.974,8850.317,8974.444,9097.262,9218.681,9338.856,9458.079,9576.736,9695.117,9813.219,9930.916,10048.226,10165.182,10281.675,10397.738,10513.111,10627.147,10738.957,10847.904,10953.714
Czechia,8902.62,9007.002,9110.144,9205.973,9290.493,9361.778,9420.036,9467.557,9508.365,9547.667,9590.178,9638.392,9691.061,9742.455,9784.341,9811.375,9821.063,9817.11,9807.943,9805.32,9817.667,9847.215,9891.102,9946.191,10007.275,10069.96,10134.522,10200.728,10262.918,10313.961,10349.084,10365.523,10365.264,10354.1,10340.629,10331.144,10327.29,10327.472,10330.925,10335.875,10340.877,10346.458,10353.021,10358.694,10360.964,10358.19,10350.302,10338.346,10323.244,10306.404,10289.374,10271.019,10252.264,10239.131,10239.444,10258.165,10298.609,10357.535,10425.267,10488.155,10536.514,10566.512,10581.302,10586.529,10591.104,10601.39,10618.868,10641.032,10665.679,10689.213,10708.982,10724.553
Greece,7668.792,7742.937,7814.168,7882.596,7948.283,8011.132,8070.958,8127.479,8180.31,8229.113,8273.628,8314.009,8350.876,8385.443,8419.301,8453.819,8489.868,8528.026,8569.144,8614.035,8663.568,8716.87,8774.512,8840.311,8919.247,9014.091,9127.057,9254.979,9388.72,9515.743,9627.004,9719.839,9796.83,9860.734,9916.481,9968.233,10015.122,10057.292,10101.349,10155.721,10225.99,10315.109,10420.226,10533.811,10644.939,10745.502,10832.139,10906.248,10970.121,11027.899,11082.103,11134.447,11182.308,11218.879,11234.993,11224.8,11185.231,11120.371,11040.312,10959.268,10887.64,10829.074,10781.119,10740.501,10701.46,10659.737,10615.183,10569.449,10522.244,10473.452,10423.056,10370.747
Jordan,481.319,536.398,576.275,609.98,644.124,682.975,728.205,779.111,832.979,885.586,933.102,973.983,1010.647,1050.212,1102.404,1173.603,1267.063,1378.995,1500.168,1617.427,1721.315,1809.193,1883.923,1948.443,2007.735,2065.916,2123.18,2179.361,2237.936,2303.116,2377.997,2464.87,2563.525,2671.413,2784.457,2900.055,3015.294,3131.8,3256.552,3399.333,3565.888,3760.493,3977.667,4201.559,4410.357,4588.842,4732.848,4848.536,4943.975,5031.754,5122.495,5217.328,5317.514,5434.036,5580.241,5765.639,5991.547,6255.29,6556.473,6893.258,7261.541,7662.858,8089.963,8518.992,8918.822,9266.573,9554.286,9785.84,9965.322,10101.697,10203.14,10269.022
Portugal,8416.971,8418.739,8451.545,8503.169,8563.703,8625.538,8683.415,8734.425,8777.697,8814.023,8844.638,8869.989,8888.509,8896.266,8888.226,8862.277,8814.774,8750.863,8687.873,8649.249,8651.334,8700,8789.11,8907.928,9039.977,9172.24,9302.297,9431.036,9552.609,9660.749,9750.966,9820.868,9870.822,9902.992,9921.243,9929.176,9926.426,9914.073,9899.198,9890.823,9895.358,9916.052,9951.305,9996.642,10045.032,10091.322,10134.016,10174.564,10214.046,10254.501,10297.117,10341.456,10385.993,10429.615,10470.926,10508.494,10542.837,10573.15,10595.312,10604.066,10596.055,10569.388,10526.308,10473.025,10418.224,10368.346,10325.54,10288.527,10256.192,10226.178,10196.707,10167.923
Azerbaijan,2927.926,2987.264,3060.014,3142.813,3233.167,3329.373,3430.666,3537.022,3649.189,3768.336,3895.398,4030.325,4171.428,4315.127,4456.691,4592.601,4721.528,4843.872,4960.237,5071.93,5180.032,5284.518,5385.266,5483.088,5579.071,5674.129,5768.73,5863.138,5957.927,6053.635,6150.735,6249.312,6349.555,6452.067,6557.581,6666.447,6778.631,6893.486,7010.027,7126.877,7242.758,7357.945,7471.924,7581.754,7683.704,7775.418,7855.558,7925.668,7989.903,8054.126,8122.743,8197.295,8277.065,8361.433,8448.938,8538.61,8630.153,8724.237,8821.869,8924.383,9032.465,9146.277,9264.684,9385.467,9505.616,9622.741,9736.041,9845.316,9949.537,10047.719,10139.175,10223.344
Sweden,7009.913,7073.227,7127.517,7175.673,7220.064,7262.625,7304.77,7347.475,7391.243,7436.26,7482.536,7530.183,7579.57,7631.453,7686.735,7745.678,7809.085,7875.902,7942.311,8003.186,8054.909,8095.798,8127.045,8151.598,8173.961,8197.341,8223.247,8250.692,8277.422,8299.996,8316.331,8325.493,8329.428,8332.441,8340.444,8357.65,8384.987,8421.056,8464.79,8514.204,8567.375,8625.14,8686.735,8746.77,8798.235,8836.421,8859.18,8868.857,8870.854,8873.105,8881.642,8897.802,8920.703,8951.439,8990.653,9038.627,9096.17,9162.941,9236.433,9313.085,9390.157,9466.705,9542.817,9618.016,9692.137,9764.949,9836.003,9904.895,9971.63,10036.391,10099.27,10160.159
Honduras,1546.719,1588.561,1631.731,1676.508,1723.013,1771.357,1821.542,1873.493,1927.101,1982.194,2038.636,2096.407,2155.648,2216.712,2280.044,2346.005,2414.805,2486.418,2560.723,2637.515,2716.652,2798.125,2882.102,2968.978,3059.245,3153.252,3251.145,3352.825,3458.102,3566.661,3678.274,3792.922,3910.642,4031.333,4154.864,4281.167,4410.27,4542.218,4677.023,4814.696,4955.302,5098.594,5244.677,5394.416,5548.969,5709.01,5874.814,6045.704,6220.405,6397.14,6574.51,6751.912,6929.267,7106.323,7282.953,7458.982,7634.295,7808.52,7980.955,8150.78,8317.467,8480.67,8640.692,8798.524,8955.579,9112.904,9270.794,9429.016,9587.523,9746.115,9904.608,10062.994
United Arab Emirates,69.594,67.466,69.235,72.771,76.523,79.579,81.624,82.963,84.42,87.188,92.417,100.801,112.112,125.13,138.049,149.855,159.979,169.768,182.62,203.103,234.512,277.463,330.968,394.625,467.457,548.295,637.926,735.347,835.498,931.752,1019.507,1096.602,1164.816,1228.457,1293.97,1366.165,1446.386,1533.526,1627.068,1725.676,1828.437,1937.159,2052.892,2173.135,2294.377,2415.099,2539.121,2671.361,2813.214,2966.029,3134.067,3302.722,3478.769,3711.931,4068.577,4588.222,5300.172,6168.846,7089.486,7917.368,8549.998,8946.778,9141.598,9197.908,9214.182,9262.896,9360.975,9487.206,9630.966,9770.526,9890.4,9991.083
Hungary,9337.718,9480.607,9597.942,9692.902,9768.679,9828.498,9875.596,9913.251,9944.702,9973.056,10000.989,10030.477,10062.51,10096.975,10132.978,10169.802,10208.225,10248.705,10289.769,10329.352,10366.099,10398.163,10426.085,10453.66,10486.191,10526.777,10577.942,10636.567,10693.327,10735.499,10754.286,10746.489,10715.857,10669.203,10616.742,10566.321,10519.296,10474.544,10434.539,10401.614,10377.135,10363.05,10358.622,10359.052,10357.586,10349.308,10332.451,10308.479,10279.61,10249.407,10220.509,10193.451,10167.286,10141.341,10114.481,10085.942,10055.657,10024.158,9991.867,9959.439,9927.38,9895.689,9864.363,9833.923,9804.991,9777.925,9752.97,9729.822,9707.502,9684.68,9660.35,9634.162
Tajikistan,1531.507,1584.995,1637.95,1690.341,1742.345,1794.416,1847.251,1901.776,1959.137,2020.558,2087.053,2159.134,2236.564,2318.252,2402.473,2487.975,2574.506,2662.257,2750.932,2840.265,2930.108,3020.419,3111.284,3203.035,3296.092,3390.941,3487.658,3586.516,3688.411,3794.457,3905.443,4020.818,4140.297,4265.278,4397.563,4537.82,4687.328,4843.997,5001.172,5149.872,5283.811,5400.636,5502.49,5593.317,5679.169,5764.806,5851.354,5938.404,6027.395,6119.664,6216.329,6318.51,6426.861,6541.55,6662.391,6789.318,6922.59,7062.667,7209.924,7364.752,7527.397,7697.507,7874.838,8059.782,8252.828,8454.019,8663.575,8880.27,9100.847,9321.023,9537.642,9749.625
Belarus,7745.004,7698.813,7677.429,7679.688,7703.776,7747.215,7806.815,7878.768,7958.727,8042.109,8124.881,8204.344,8279.893,8353.294,8427.839,8505.724,8587.174,8670.567,8754.2,8835.743,8913.549,8987.034,9056.732,9123.451,9188.463,9252.78,9316.324,9378.923,9441.415,9504.864,9569.847,9636.152,9703.088,9770.125,9836.582,9901.493,9965.178,10026.47,10081.209,10124,10151.135,10160.785,10154.338,10135.133,10108.28,10077.606,10044.854,10009.393,9969.986,9924.44,9871.635,9811.399,9745.932,9679.235,9616.628,9562.083,9516.884,9480.514,9452.855,9433.159,9420.576,9415.316,9417.045,9423.502,9431.742,9439.424,9445.638,9450.233,9452.615,9452.409,9449.321,9442.867
Austria,6936.442,6931.346,6931.194,6935.149,6942.617,6953.404,6967.624,6985.724,7008.415,7036.554,7070.773,7111.139,7156.836,7205.991,7256.091,7305.154,7352.239,7397.168,7439.581,7479.34,7516.238,7550.339,7581.12,7607.067,7626.29,7637.686,7640.755,7636.573,7627.762,7617.883,7609.75,7604.512,7602.177,7603.1,7607.296,7614.874,7625.395,7639.351,7658.856,7686.564,7723.954,7772.698,7830.938,7892.089,7947.215,7990.113,8017.852,8032.873,8041.054,8051.116,8069.276,8097.755,8134.403,8175.855,8216.81,8253.656,8285.345,8313.731,8341.525,8372.658,8409.945,8453.501,8502.23,8556.191,8615.205,8678.667,8747.306,8819.902,8891.383,8955.108,9006.4,9043.072
Papua New Guinea,2002.147,2011.216,2024.16,2041.021,2061.758,2086.253,2114.28,2145.599,2179.87,2216.723,2255.858,2297.052,2340.349,2385.943,2434.22,2485.433,2539.683,2596.82,2656.636,2718.805,2783.132,2849.522,2918.138,2989.201,3063.051,3139.944,3219.825,3302.636,3388.631,3478.093,3571.209,3668.102,3768.489,3871.49,3975.95,4081.022,4186.499,4292.575,4399.32,4506.996,4615.843,4725.543,4836.216,4949.053,5065.664,5187.063,5314.258,5446.633,5581.767,5716.166,5847.59,5974.627,6098.621,6223.378,6354.247,6494.902,6646.891,6808.503,6976.2,7144.774,7310.512,7472.196,7631.003,7788.388,7946.733,8107.772,8271.766,8438.038,8606.324,8776.119,8947.027,9119.005
Serbia,6732.252,6853.292,6963.394,7063.171,7153.361,7234.917,7308.93,7376.691,7439.611,7499.166,7556.732,7613.358,7669.607,7725.498,7780.687,7835.085,7888.803,7942.636,7997.997,8056.665,8119.865,8187.994,8260.626,8337.073,8416.255,8497.172,8579.634,8663.33,8746.979,8829.036,8908.295,8984.597,9057.971,9127.675,9192.92,9253.396,9306.347,9352.149,9397.31,9450.77,9517.677,9602.879,9701.145,9795.253,9861.631,9884.145,9856.064,9784.689,9685.43,9580.824,9487.612,9410.769,9346.464,9292.232,9242.643,9193.818,9145.913,9101.189,9060.105,9023.354,8991.258,8963.761,8940.116,8918.892,8898.284,8876.777,8853.963,8829.623,8802.741,8772.228,8737.37,8697.547
Israel,1257.968,1345.335,1435.825,1525.358,1611.168,1691.873,1767.489,1839.371,1910.043,1982.76,2060.476,2144.648,2234.199,2325.149,2411.782,2490.322,2558.716,2619.102,2676.972,2740.066,2813.746,2900.016,2996.475,3098.785,3200.533,3296.931,3387.048,3472.118,3552.297,3628.307,3700.916,3770.694,3838.109,3903.954,3969.182,4035.062,4100.543,4167.13,4241.786,4333.578,4448.348,4589.305,4752.826,4929.413,5105.571,5271.368,5424.241,5566.551,5699.279,5824.944,5945.949,6060.679,6169.311,6278.374,6396.511,6529.47,6680.641,6847.148,7020.832,7190.037,7346.446,7487.095,7614.946,7734.834,7854.216,7978.496,8108.984,8243.849,8381.507,8519.373,8655.541,8789.776
Switzerland,4668.089,4721.916,4781.123,4841.507,4900.462,4957.07,5012.094,5067.973,5128.443,5198.063,5280.683,5377.764,5487.049,5601.812,5712.708,5812.844,5899.478,5973.94,6038.328,6096.427,6150.848,6202.951,6251.286,6292.538,6322.006,6337.031,6335.977,6321.816,6302.042,6286.91,6283.833,6295.921,6321.409,6356.743,6396.144,6435.424,6473.047,6510.593,6550.73,6597.36,6652.873,6718.818,6792.906,6868.937,6938.407,6995.519,7038.027,7068.503,7091.775,7115.031,7143.764,7179.174,7220.378,7268.363,7323.728,7386.818,7457.961,7536.986,7622.826,7713.902,7808.674,7906.988,8008.006,8108.876,8206.003,8296.775,8379.915,8455.797,8525.614,8591.361,8654.618,8715.494
