Location,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Thailand,20710.353,21263.46,21838.302,22436.798,23060.601,23711.122,24389.546,25096.799,25833.567,26600.323,27397.208,28224.186,29080.945,29966.873,30881.136,31822.656,32789.129,33778.804,34791.418,35827.089,36884.525,37963.28,39058.594,40159.581,41252.32,42326.307,43377.27,44405.903,45413.082,46401.75,47374.463,48326.269,49255.889,50173.922,51094.87,52026.901,52980.105,53945.872,54891.52,55772.169,56558.196,57232.471,57811.025,58337.773,58875.275,59467.272,60130.19,60846.588,61585.103,62298.569,62952.639,63539.19,64069.093,64549.867,64995.303,65416.189,65812.54,66182.064,66530.98,66866.834,67195.032,67518.379,67835.969,68144.519,68438.748,68714.519,68971.313,69209.817,69428.454,69625.581,69799.978,69950.844
United Kingdom (and dependencies),50877.841,50865.952,50916.988,51017.985,51158.867,51332.575,51535.137,51765.573,52025.356,52317.496,52644.096,53003.501,53387.997,53782.59,54168.178,54529.95,54861.696,55163.195,55433.214,55672.506,55882.058,56061.16,56209.127,56326.985,56416.531,56480.328,56519.585,56537.809,56542.925,56544.808,56551.462,56565.54,56588.617,56626.611,56685.899,56770.5,56884.38,57025.854,57186.453,57353.852,57519.18,57679.983,57839.058,57998.676,58163.317,58336.34,58521.953,58720.623,58928.485,59139.784,59352.692,59559.121,59766.587,60007.295,60324.392,60745.538,61285.187,61925.457,62621.742,63310.907,63946.89,64512.728,65018.922,65479.89,65921.201,66361.003,66802.034,67235.226,67653.365,68045.699,68405.089,68729.427
France (and dependencies),42696.26,42913.455,43218.753,43580.19,43974.445,44386.922,44812.234,45253.595,45721.635,46231.712,46797.154,47421.421,48091.605,48775.528,49429.719,50023.385,50541.717,50993.231,51399.173,51792.368,52196.022,52618.367,53049.812,53474.479,53868.978,54217.691,54515.338,54771.61,55003.945,55237.078,55489.174,55765.269,56061,56373.13,56695.223,57021.79,57354.391,57693.47,58031.012,58356.539,58663.003,58948.729,59217.325,59473.223,59723.362,59974.056,60223.357,60473.31,60739.128,61040.389,61389.654,61794.233,62246.539,62725.509,63201.3,63651.974,64068.711,64456.095,64821.943,65179.7,65538.334,65900.759,66260.564,66606.957,66924.889,67204.311,67440.768,67639.823,67813.27,67978.398,68147.687,68325.35
France,41833.873,42031.196,42315.598,42654.661,43024.817,43411.377,43808.997,44221.224,44659.052,45138.433,45673.147,46266.974,46907.043,47560.825,48184.414,48746.653,49232.536,49651.08,50024.587,50387.441,50763.921,51162.569,51573.268,51979.531,52356.793,52688.575,52969.314,53208.549,53423.112,53637.073,53868.006,54121.009,54391.469,54675.37,54965.167,55254.838,55545.271,55837.622,56126.337,56404.303,56666.861,56913.58,57147.213,57370.375,57587.122,57801.887,58012.055,58220.657,58444.245,58704.381,59015.092,59384.126,59803.434,60251.591,60697.977,61120.128,61508.924,61869.229,62209.207,62542.883,62879.535,63222.229,63564.224,63893.521,64193.55,64453.194,64667.59,64842.513,64990.512,65129.731,65273.512,65426.177
Italy,46598.599,47009.982,47390.571,47737.391,48051.041,48335.577,48598.903,48852.439,49110.365,49388.394,49699.947,50052.174,50442.35,50856.405,51273.234,51677.247,52062.749,52433.478,52794.534,53154.575,53518.966,53888.88,54258.737,54619.24,54957.795,55265.28,55537.953,55777.881,55988.983,56177.842,56349.352,56505.476,56644.86,56765.25,56863.131,56936.776,56983.931,57007.737,57018.193,57028.707,57048.237,57088.125,57145.308,57197.61,57213.538,57174.412,57065.231,56903.633,56742.755,56655.629,56692.178,56875.148,57182.521,57564.589,57948.421,58281.209,58542.619,58747.862,58922.116,59105.622,59325.232,59589.07,59879.469,60166.828,60409.622,60578.489,60663.068,60673.694,60627.291,60550.092,60461.828,60367.471
United Republic of Tanzania,7649.765,7844.891,8050.984,8267.417,8493.75,8729.667,8974.994,9229.733,9493.994,9768.035,10052.151,10346.695,10651.954,10968.196,11295.675,11634.837,11985.442,12348.188,12725.519,13120.587,13535.487,13971.698,14428.34,14902.271,15388.933,15885.228,16390.161,16905.222,17432.756,17976.219,18538.263,19120.683,19723.317,20344.55,20981.775,21633.799,22296.282,22971.208,23670.807,24411.744,25203.848,26056.605,26961.204,27887.204,28792.649,29649.128,30444.523,31192.853,31924.201,32682.24,33499.177,34385.849,35334.79,36337.778,37379.766,38450.323,39548.666,40681.416,41853.944,43073.83,44346.532,45673.52,47053.033,48483.132,49960.563,51482.638,53049.231,54660.345,56313.444,58005.461,59734.213,61498.438
South Africa,13628.434,13921.934,14226.257,14541.56,14868.163,15206.501,15557.198,15921.02,16298.795,16691.451,17099.836,17524.533,17965.733,18423.157,18896.303,19384.838,19888.259,20406.863,20942.147,21496.075,22069.783,22665.265,23281.517,23913.09,24552.54,25195.184,25836.89,26480.915,27138.966,27827.325,28556.771,29333.095,30150.448,30993.762,31841.588,32678.876,33495.956,34297.727,35100.905,35930.056,36800.507,37718.952,38672.611,39633.754,40564.061,41435.761,42241.007,42987.456,43682.259,44338.551,44967.713,45571.272,46150.913,46719.203,47291.61,47880.595,48489.464,49119.766,49779.472,50477.013,51216.967,52003.759,52832.659,53687.125,54544.184,55386.369,56207.649,57009.751,57792.52,58558.267,59308.69,60041.996
Myanmar,17779.635,18103.97,18440.675,18792.741,19162.186,19550.067,19956.404,20380.22,20819.752,21272.677,21736.947,22211.626,22697.664,23198.238,23717.785,24259.356,24823.937,25410.054,26015.239,26635.852,27269.063,27913.749,28570.093,29238.168,29918.469,30611.093,31314.347,32026.748,32748.782,33481.397,34224.316,34976.465,35734.273,36491.804,37241.53,37977.087,38698.484,39404.35,40085.653,40731.439,41335.188,41890.192,42401.686,42889.992,43383.421,43901.598,44452.203,45027.223,45611.22,46181.075,46719.698,47225.119,47702.163,48148.907,48564.489,48949.931,49301.049,49621.479,49929.642,50250.366,50600.827,50990.612,51413.703,51852.464,52280.816,52680.724,53045.199,53382.521,53708.318,54045.422,54409.794,54806.014
Kenya,6076.757,6242.107,6415.955,6598.172,6788.705,6987.658,7195.224,7411.766,7637.725,7873.623,8120.082,8377.693,8647.002,8928.51,9222.692,9530.163,9851.453,10187.487,10539.909,10910.677,11301.394,11713.046,12146.07,12600.799,13077.341,13575.898,14096.258,14638.887,15205.381,15797.771,16417.203,17063.87,17736.326,18431.76,19146.403,19877.078,20622.56,21382.111,22153.685,22935.088,23724.574,24521.714,25326.08,26136.217,26950.508,27768.297,28589.456,29415.66,30250.488,31098.763,31964.557,32848.569,33751.746,34678.781,35635.267,36624.897,37649.039,38705.934,39791.984,40901.798,42030.684,43178.27,44343.469,45519.986,46700.063,47878.339,49051.531,50221.146,51392.57,52573.967,53771.3,54985.702
Republic of Korea,19211.387,19452.64,19817.775,20293.2,20864.104,21514.564,22227.339,22984.01,23765.501,24552.846,25329.521,26084.025,26812.084,27517.54,28209.737,28895.557,29572.554,30236.691,30891.968,31543.831,32195.679,32850.725,33506.522,34154.091,34780.886,35378.657,35942.033,36475.425,36992.188,37511.303,38045.605,38602.287,39175.221,39747.794,40296.23,40804.406,41265.123,41686.566,42086.668,42491.2,42918.416,43373.148,43848.223,44335.037,44820.07,45292.521,45751.023,46196.056,46620.698,47016.952,47379.237,47706.226,47999.551,48260.901,48493.434,48701.069,48880.449,49034.813,49182.458,49347.45,49545.638,49786.153,50060.639,50345.72,50607.904,50823.087,50983.446,51096.408,51171.7,51225.321,51269.183,51305.184
